IBOV - Carteira do Dia 02/01/26
Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;466.632.333;0,561;
ABEV3;AMBEV S/A;ON  EDJ;4.273.841.357;2,511;
ASAI3;ASSAI;ON      NM;1.344.470.815;0,415;
AURE3;AUREN;ON      NM;318.338.365;0,160;
AXIA3;AXIA ENERGIA;ON  EB  N1;1.821.923.647;3,910;
AXIA6;AXIA ENERGIA;PNB EX  N1;270.513.025;0,601;
AXIA7;AXIA ENERGIA;PNC     N1;549.971.635;1,145;
AZZA3;AZZAS 2154;ON  ED  NM;134.911.449;0,144;
B3SA3;B3;ON  EJ  NM;5.196.371.458;2,989;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,944;
BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,971;
BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,938;
BRAP4;BRADESPAR;PN  EDJ N1;250.973.136;0,212;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,642;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,089;
BRAV3;BRAVA;ON      NM;461.715.081;0,330;
BPAC11;BTGP BANCO;UNT EJ  N2;1.404.794.900;3,131;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,423;
CEAB3;CEA MODAS;ON  EJ  NM;138.420.009;0,075;
CMIG4;CEMIG;PN  EDJ N1;1.904.057.894;0,904;
COGN3;COGNA ON;ON  EDB NM;1.991.965.489;0,267;
CPLE3;COPEL;ON  EDJ NM;1.671.982.390;0,873;
CSAN3;COSAN;ON      NM;3.248.010.756;0,732;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,424;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,380;
CURY3;CURY S/A;ON      NM;135.117.425;0,185;
CVCB3;CVC BRASIL;ON      NM;450.059.727;0,041;
CYRE3;CYRELA REALT;ON  EB  NM;256.055.995;0,270;
CYRE4;CYRELA REALT;PN      NM;48.543.949;0,051;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,195;
EMBJ3;EMBRAER;ON      NM;733.564.938;2,756;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,716;
ENEV3;ENEVA;ON      NM;1.912.620.486;1,636;
EGIE3;ENGIE BRASIL;ON  EJ  NM;357.302.353;0,475;
EQTL3;EQUATORIAL;ON  EJ  NM;1.246.479.596;2,035;
FLRY3;FLEURY;ON      NM;447.171.522;0,284;
GGBR4;GERDAU;PN      N1;1.276.025.309;1,104;
GOAU4;GERDAU MET;PN  EB  N1;830.615.026;0,317;
HAPV3;HAPVIDA;ON      NM;311.257.700;0,194;
HYPE3;HYPERA;ON  EJ  NM;293.521.155;0,293;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,229;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,187;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,462;
ITSA4;ITAUSA;PN  EB  N1;5.970.352.666;2,956;
ITUB4;ITAUUNIBANCO;PN  EJB N1;4.749.674.244;7,897;
KLBN11;KLABIN S/A;UNT EB  N2;792.355.216;0,630;
RENT3;LOCALIZA;ON  EJB NM;977.042.684;1,805;
RENT4;LOCALIZA;PN      NM;37.577.993;0,066;
LREN3;LOJAS RENNER;ON      NM;1.000.358.705;0,570;
MGLU3;MAGAZ LUIZA;ON  EB  NM;373.185.407;0,142;
POMO4;MARCOPOLO;PN  EB  N2;727.730.867;0,184;
MBRF3;MARFRIG;ON      NM;708.146.298;0,600;
BEEF3;MINERVA;ON      NM;433.648.983;0,106;
MOTV3;MOTIVA SA;ON      NM;988.559.510;0,631;
MRVE3;MRV;ON      NM;375.402.024;0,124;
MULT3;MULTIPLAN;ON  EJ  N2;314.022.221;0,363;
NATU3;NATURA;ON      NM;839.505.097;0,265;
PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,070;
PETR3;PETROBRAS;ON  EDJ N2;2.643.091.977;3,650;
PETR4;PETROBRAS;PN  EDJ N2;4.410.960.450;5,764;
